[3, 2, 1, 0, 12, 13, 11, 10, 9, 8, 7, 6, 14, 4, 5]
[8, 9, 10, 11, 1, 0, 5, 6, 7, 4, 3, 2, 12, 13, 14]
[4, 3, 2, 1, 0, 9, 7, 8, 10, 5, 6, 11, 12, 13, 14]
[7, 8, 9, 14, 10, 11, 12, 13, 6, 5, 4, 3, 2, 0, 1]
[7, 8, 9, 10, 11, 4, 3, 2, 0, 6, 5, 1, 12, 13, 14]
[11, 12, 0, 4, 5, 6, 7, 8, 9, 10, 2, 1, 3, 13, 14]
[14, 3, 4, 5, 6, 7, 8, 13, 1, 0, 2, 12, 11, 9, 10]
[0, 6, 10, 9, 8, 7, 5, 4, 1, 2, 3, 11, 12, 13, 14]
[1, 13, 12, 11, 0, 2, 3, 4, 5, 10, 9, 8, 7, 6, 14]
[5, 11, 9, 8, 7, 6, 4, 0, 1, 2, 3, 10, 12, 13, 14]
[0, 4, 5, 6, 8, 9, 10, 11, 7, 12, 13, 1, 2, 3, 14]
[11, 10, 4, 5, 6, 7, 8, 9, 0, 1, 2, 3, 12, 13, 14]
[1, 0, 11, 3, 4, 5, 6, 2, 12, 7, 8, 9, 10, 13, 14]
[5, 6, 7, 8, 9, 4, 3, 2, 0, 1, 10, 11, 12, 13, 14]
[14, 13, 12, 8, 7, 6, 0, 11, 1, 2, 3, 4, 10, 9, 5]
[3, 2, 1, 9, 10, 0, 4, 5, 11, 12, 13, 14, 8, 7, 6]
[9, 11, 10, 2, 1, 12, 8, 7, 6, 5, 4, 3, 0, 13, 14]
[4, 3, 2, 5, 6, 7, 12, 13, 8, 9, 10, 11, 1, 0, 14]
[6, 7, 8, 11, 10, 9, 12, 13, 14, 4, 3, 2, 1, 0, 5]
[8, 14, 9, 10, 7, 6, 3, 2, 1, 0, 4, 5, 11, 12, 13]
[2, 3, 12, 11, 10, 4, 1, 0, 5, 6, 7, 13, 14, 8, 9]
[2, 3, 4, 14, 13, 12, 11, 7, 6, 5, 1, 0, 8, 9, 10]
[12, 6, 5, 4, 3, 11, 10, 7, 8, 9, 0, 13, 2, 1, 14]
[9, 10, 11, 12, 4, 13, 0, 1, 2, 3, 8, 7, 6, 5, 14]
[10, 11, 6, 5, 0, 1, 4, 3, 2, 12, 9, 7, 8, 13, 14]
[12, 4, 5, 6, 8, 11, 10, 9, 0, 7, 3, 2, 1, 13, 14]
