[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 2, 3, 9, 0, 4, 5, 6, 7, 8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[9, 3, 4, 0, 1, 2, 5, 6, 7, 8]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[1, 2, 3, 9, 0, 4, 5, 6, 7, 8]
[3, 2, 6, 7, 8, 9, 0, 1, 5, 4]
[8, 2, 1, 0, 9, 3, 4, 5, 6, 7]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[4, 3, 9, 0, 5, 6, 7, 8, 2, 1]
[3, 2, 1, 5, 6, 7, 8, 9, 0, 4]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[1, 0, 4, 5, 6, 7, 8, 9, 3, 2]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[3, 4, 5, 6, 7, 8, 9, 0, 1, 2]
[1, 0, 9, 8, 2, 3, 4, 5, 6, 7]
[5, 2, 1, 0, 6, 7, 8, 9, 3, 4]
[1, 2, 8, 7, 0, 9, 3, 4, 5, 6]
[7, 8, 9, 0, 1, 2, 3, 4, 5, 6]
[5, 4, 3, 2, 6, 7, 8, 9, 0, 1]
[8, 2, 1, 0, 9, 3, 4, 5, 6, 7]
[9, 2, 3, 4, 0, 1, 5, 6, 7, 8]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9]
[1, 0, 9, 3, 4, 5, 6, 7, 8, 2]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[6, 7, 8, 2, 1, 0, 9, 3, 4, 5]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 0, 9, 3, 4, 5, 6, 7, 8, 2]
[5, 4, 3, 2, 6, 7, 8, 9, 0, 1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 0, 4, 5, 6, 7, 8, 9, 3, 2]
[7, 8, 9, 0, 1, 2, 3, 4, 5, 6]
[3, 9, 8, 7, 2, 1, 0, 4, 5, 6]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 0, 9, 8, 2, 3, 4, 5, 6, 7]
[4, 5, 1, 2, 3, 6, 7, 8, 9, 0]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 3, 9, 0, 4, 5, 6, 7, 8]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[1, 2, 3, 9, 0, 4, 5, 6, 7, 8]
[7, 8, 9, 0, 1, 2, 3, 4, 5, 6]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[5, 4, 3, 2, 6, 7, 8, 9, 0, 1]
[8, 9, 3, 2, 1, 0, 4, 5, 6, 7]
[9, 0, 1, 7, 8, 2, 3, 4, 5, 6]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[5, 4, 3, 2, 6, 7, 8, 9, 0, 1]
[1, 2, 3, 9, 0, 4, 5, 6, 7, 8]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[3, 2, 1, 5, 6, 7, 8, 9, 0, 4]
[5, 4, 3, 7, 8, 9, 0, 1, 2, 6]
[3, 4, 5, 6, 7, 8, 9, 0, 1, 2]
[8, 9, 3, 2, 1, 0, 4, 5, 6, 7]
[4, 5, 1, 2, 3, 6, 7, 8, 9, 0]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 3, 9, 0, 4, 5, 6, 7, 8]
[1, 0, 9, 8, 2, 3, 4, 5, 6, 7]
[3, 4, 5, 6, 7, 8, 9, 0, 1, 2]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[3, 4, 5, 6, 7, 8, 9, 0, 1, 2]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[7, 8, 9, 0, 1, 2, 3, 4, 5, 6]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[7, 8, 9, 0, 1, 2, 3, 4, 5, 6]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 3]
[1, 0, 4, 5, 6, 7, 8, 9, 3, 2]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[9, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[1, 2, 8, 7, 0, 9, 3, 4, 5, 6]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 0, 9, 8, 2, 3, 4, 5, 6, 7]
[1, 0, 4, 5, 6, 7, 8, 9, 3, 2]
[1, 2, 3, 9, 0, 4, 5, 6, 7, 8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
[1, 0, 4, 5, 6, 7, 8, 9, 3, 2]
