[2, 5, 6, 0, 1, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3, 4]
[5, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 4]
[15, 1, 0, 4, 3, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[15, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[2, 1, 0, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[13, 1, 0, 15, 14, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[5, 4, 0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3, 2]
[0, 15, 14, 13, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
[13, 14, 15, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[2, 1, 0, 13, 14, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[5, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 4]
[4, 3, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1, 5]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]
[12, 0, 1, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[7, 6, 5, 9, 10, 11, 12, 13, 14, 15, 0, 4, 3, 2, 1, 8]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[5, 4, 0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3, 2]
[2, 14, 13, 0, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1]
[2, 3, 15, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 1]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3, 2, 1]
[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 2, 3, 15]
[1, 2, 6, 5, 4, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
[1, 2, 8, 7, 6, 5, 9, 10, 11, 12, 13, 14, 15, 3, 4, 0]
[12, 0, 1, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[15, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[2, 1, 5, 4, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
[0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3, 2, 5, 4]
[2, 1, 0, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3, 2, 5, 4]
[5, 6, 0, 1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3, 4]
[4, 5, 1, 0, 3, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[6, 0, 15, 3, 7, 8, 9, 10, 11, 12, 13, 14, 1, 2, 4, 5]
[3, 2, 5, 4, 0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 4, 5, 1, 2, 3]
[1, 2, 4, 0, 15, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[14, 3, 4, 0, 15, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13]
[15, 0, 4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[0, 1, 13, 14, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15]
[13, 0, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 14]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[0, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 2, 1]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]
[12, 13, 14, 15, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[2, 3, 4, 0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[0, 15, 14, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 1]
[14, 13, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 15]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 3]
[5, 1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 4, 3, 6]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[15, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[13, 14, 2, 1, 0, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[3, 7, 6, 5, 4, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1, 2]
[12, 13, 14, 15, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[6, 5, 4, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1, 2, 3, 7]
[12, 13, 14, 15, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[13, 14, 2, 1, 0, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[3, 2, 5, 4, 0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
[15, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
[0, 13, 14, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 2, 1]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
[2, 3, 15, 14, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
[1, 5, 4, 3, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
[1, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0]
[1, 5, 4, 3, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
[12, 15, 0, 1, 13, 14, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[12, 13, 0, 14, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1, 2]
[13, 1, 0, 15, 14, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[8, 7, 2, 1, 9, 10, 11, 12, 13, 14, 15, 0, 4, 3, 6, 5]
[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1, 2, 3]
[5, 1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 4, 3, 6]
