[10, 0, 8, 7, 6, 5, 4, 3, 2, 1, 12, 13, 11, 9]
[0, 1, 2, 3, 5, 6, 13, 12, 11, 10, 4, 9, 8, 7]
[6, 5, 4, 3, 2, 12, 13, 11, 10, 9, 8, 7, 0, 1]
[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 1]
[10, 2, 9, 11, 1, 0, 3, 4, 5, 6, 7, 8, 12, 13]
[1, 0, 7, 8, 9, 10, 11, 12, 13, 6, 2, 4, 5, 3]
[7, 10, 0, 1, 9, 8, 13, 6, 5, 4, 3, 2, 11, 12]
[10, 0, 1, 2, 9, 8, 6, 5, 4, 3, 7, 11, 12, 13]
[6, 5, 4, 7, 8, 1, 0, 3, 2, 9, 10, 11, 12, 13]
[5, 6, 3, 2, 4, 7, 8, 9, 10, 11, 1, 0, 12, 13]
[11, 2, 1, 0, 3, 6, 7, 4, 5, 8, 9, 10, 12, 13]
[13, 12, 11, 10, 9, 8, 7, 6, 5, 0, 4, 3, 2, 1]
[11, 6, 10, 9, 0, 1, 8, 7, 5, 4, 3, 2, 12, 13]
[2, 3, 4, 9, 8, 7, 5, 6, 10, 11, 1, 0, 12, 13]
[9, 10, 0, 2, 3, 8, 7, 6, 5, 4, 11, 12, 1, 13]
[12, 0, 1, 2, 11, 10, 6, 5, 4, 3, 7, 8, 9, 13]
[3, 12, 11, 4, 5, 6, 7, 8, 9, 10, 0, 1, 2, 13]
[12, 11, 10, 9, 8, 7, 13, 5, 4, 3, 2, 1, 0, 6]
[5, 4, 3, 2, 1, 0, 8, 6, 7, 9, 10, 11, 12, 13]
[13, 12, 4, 3, 2, 8, 9, 10, 11, 6, 7, 5, 0, 1]
[11, 1, 2, 8, 7, 6, 0, 9, 10, 3, 4, 5, 12, 13]
[0, 13, 12, 7, 11, 10, 9, 8, 1, 2, 3, 4, 5, 6]
[13, 3, 1, 0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[6, 10, 11, 12, 13, 8, 9, 0, 1, 2, 3, 4, 5, 7]
[7, 8, 9, 10, 11, 1, 0, 3, 4, 12, 2, 5, 6, 13]
[1, 0, 13, 3, 4, 5, 2, 11, 12, 10, 9, 8, 7, 6]
[4, 3, 2, 7, 8, 9, 11, 12, 10, 1, 0, 5, 6, 13]
