[8, 1, 0, 10, 9, 2, 3, 4, 5, 6, 7]
[2, 3, 4, 0, 1, 5, 6, 7, 8, 9, 10]
[2, 3, 10, 9, 1, 0, 4, 5, 6, 7, 8]
[5, 4, 3, 10, 6, 7, 8, 9, 2, 1, 0]
[2, 1, 9, 8, 3, 10, 0, 4, 5, 6, 7]
[2, 3, 10, 9, 1, 0, 4, 5, 6, 7, 8]
[8, 9, 2, 1, 0, 10, 3, 4, 5, 6, 7]
[10, 9, 8, 7, 3, 2, 1, 0, 4, 5, 6]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[10, 9, 8, 7, 3, 2, 1, 0, 4, 5, 6]
[6, 3, 2, 8, 9, 10, 0, 4, 5, 1, 7]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[7, 3, 10, 9, 8, 2, 1, 0, 4, 5, 6]
[3, 10, 0, 1, 4, 5, 6, 7, 8, 9, 2]
[1, 5, 4, 3, 2, 6, 7, 8, 9, 10, 0]
[7, 8, 9, 10, 0, 1, 2, 3, 4, 5, 6]
[2, 1, 0, 10, 3, 4, 5, 6, 7, 8, 9]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 3, 10, 9, 1, 0, 4, 5, 6, 7, 8]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 0]
[9, 3, 4, 0, 10, 2, 1, 5, 6, 7, 8]
[4, 8, 9, 10, 0, 1, 2, 3, 7, 6, 5]
[8, 9, 2, 1, 0, 10, 3, 4, 5, 6, 7]
[8, 9, 10, 3, 2, 1, 0, 4, 5, 6, 7]
[0, 1, 2, 9, 10, 3, 4, 5, 6, 7, 8]
[2, 3, 4, 0, 1, 5, 6, 7, 8, 9, 10]
[10, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[3, 2, 5, 6, 7, 8, 9, 10, 1, 0, 4]
[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10]
[5, 6, 7, 8, 9, 10, 0, 1, 2, 3, 4]
[4, 5, 6, 7, 8, 9, 10, 0, 1, 2, 3]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 0]
[5, 6, 7, 8, 9, 10, 0, 4, 3, 2, 1]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 0]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10]
[4, 5, 2, 1, 0, 6, 7, 8, 9, 10, 3]
[10, 0, 4, 3, 2, 1, 5, 6, 7, 8, 9]
[2, 1, 3, 4, 5, 6, 7, 8, 0, 10, 9]
[4, 3, 0, 6, 7, 8, 1, 2, 9, 10, 5]
[7, 6, 2, 3, 8, 9, 10, 0, 1, 5, 4]
[9, 1, 2, 3, 10, 0, 4, 5, 6, 7, 8]
[0, 10, 3, 4, 5, 6, 7, 8, 9, 2, 1]
[5, 4, 0, 7, 8, 9, 10, 3, 2, 1, 6]
[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10]
[5, 1, 8, 7, 6, 0, 10, 9, 2, 3, 4]
[5, 6, 7, 8, 9, 10, 0, 4, 3, 2, 1]
[9, 1, 2, 3, 10, 0, 4, 5, 6, 7, 8]
[8, 7, 0, 4, 9, 10, 3, 2, 1, 6, 5]
[0, 10, 9, 1, 4, 5, 6, 7, 8, 3, 2]
[5, 4, 0, 1, 6, 7, 8, 9, 10, 3, 2]
