[5, 8, 9, 10, 11, 7, 6, 0, 1, 2, 3, 4, 12]
[3, 4, 2, 1, 11, 10, 0, 5, 6, 7, 8, 9, 12]
[3, 2, 1, 4, 5, 0, 6, 7, 8, 9, 10, 11, 12]
[1, 2, 6, 5, 4, 3, 0, 8, 7, 9, 10, 11, 12]
[1, 2, 9, 0, 3, 4, 5, 6, 7, 8, 10, 11, 12]
[10, 0, 9, 1, 2, 3, 8, 7, 6, 5, 4, 11, 12]
[1, 5, 6, 7, 0, 2, 3, 4, 8, 9, 10, 11, 12]
[6, 5, 4, 3, 2, 7, 8, 9, 10, 11, 1, 0, 12]
[10, 11, 9, 8, 7, 0, 1, 2, 3, 4, 5, 6, 12]
[9, 8, 7, 6, 5, 4, 3, 2, 0, 12, 10, 11, 1]
[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 7, 6, 5]
[11, 12, 4, 3, 0, 1, 10, 9, 8, 7, 6, 5, 2]
[11, 10, 9, 4, 3, 2, 1, 5, 6, 7, 8, 0, 12]
[7, 8, 9, 4, 5, 12, 11, 10, 6, 3, 2, 1, 0]
[12, 11, 10, 9, 7, 6, 8, 0, 1, 2, 5, 4, 3]
[11, 10, 9, 8, 7, 6, 5, 1, 2, 3, 4, 0, 12]
[1, 3, 2, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[11, 10, 9, 8, 7, 6, 5, 12, 4, 3, 2, 1, 0]
[4, 5, 6, 10, 9, 8, 7, 3, 2, 1, 0, 11, 12]
[9, 10, 12, 11, 8, 7, 6, 5, 0, 1, 4, 3, 2]
[12, 11, 10, 4, 3, 2, 1, 0, 5, 7, 8, 9, 6]
[0, 1, 11, 10, 9, 8, 7, 6, 5, 2, 4, 3, 12]
[12, 9, 10, 11, 8, 7, 0, 1, 2, 3, 4, 5, 6]
[3, 9, 10, 4, 5, 6, 7, 8, 2, 1, 0, 11, 12]
[4, 5, 6, 7, 3, 2, 8, 0, 1, 9, 10, 11, 12]
[9, 10, 11, 12, 8, 7, 6, 5, 0, 1, 2, 3, 4]
[3, 11, 4, 5, 6, 10, 9, 8, 7, 2, 1, 0, 12]
[9, 8, 0, 3, 4, 5, 6, 7, 10, 11, 12, 1, 2]
[7, 6, 8, 9, 10, 11, 12, 2, 1, 5, 4, 3, 0]
[12, 11, 10, 0, 1, 2, 3, 4, 7, 8, 5, 6, 9]
[8, 7, 1, 2, 6, 5, 4, 3, 9, 10, 0, 11, 12]
[1, 0, 5, 12, 11, 6, 7, 8, 9, 10, 2, 3, 4]
[12, 11, 10, 9, 4, 5, 6, 8, 7, 3, 2, 1, 0]
[0, 1, 2, 10, 9, 3, 4, 8, 7, 6, 5, 11, 12]
[3, 0, 1, 2, 9, 10, 11, 12, 4, 8, 7, 6, 5]
[5, 3, 2, 1, 0, 4, 6, 7, 8, 9, 10, 11, 12]
[5, 2, 6, 7, 8, 9, 1, 0, 3, 4, 10, 11, 12]
[5, 6, 8, 7, 9, 10, 11, 12, 4, 3, 2, 1, 0]
[5, 1, 6, 7, 8, 9, 10, 11, 0, 2, 3, 4, 12]
[8, 7, 9, 10, 11, 6, 5, 4, 3, 2, 1, 0, 12]
[5, 4, 3, 1, 0, 2, 6, 7, 8, 9, 10, 11, 12]
[12, 11, 0, 1, 2, 3, 4, 5, 6, 10, 9, 8, 7]
[12, 11, 10, 9, 7, 0, 1, 8, 6, 5, 4, 3, 2]
[2, 0, 1, 3, 4, 5, 6, 7, 10, 9, 8, 11, 12]
[10, 9, 8, 7, 6, 0, 1, 2, 5, 4, 3, 11, 12]
[0, 1, 2, 3, 10, 11, 12, 9, 8, 7, 6, 5, 4]
[0, 1, 2, 4, 3, 5, 6, 7, 8, 9, 10, 11, 12]
[1, 4, 5, 6, 7, 2, 3, 10, 9, 8, 0, 11, 12]
[12, 11, 10, 0, 6, 5, 7, 8, 9, 4, 3, 2, 1]
[7, 8, 9, 10, 2, 1, 6, 5, 3, 4, 0, 11, 12]
[1, 0, 9, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]
[1, 8, 9, 12, 11, 10, 0, 2, 3, 4, 5, 6, 7]
[7, 6, 0, 5, 8, 9, 10, 1, 2, 3, 4, 11, 12]
[4, 3, 2, 1, 0, 9, 10, 11, 12, 5, 6, 7, 8]
[8, 7, 0, 1, 2, 3, 4, 5, 10, 9, 6, 11, 12]
[6, 7, 5, 4, 3, 2, 0, 1, 8, 9, 10, 11, 12]
[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 11, 12]
[6, 7, 8, 5, 4, 3, 2, 9, 10, 0, 1, 11, 12]
[9, 8, 0, 1, 2, 3, 4, 5, 7, 6, 10, 11, 12]
[8, 7, 6, 5, 4, 1, 0, 9, 10, 11, 2, 3, 12]
[0, 3, 4, 5, 6, 7, 1, 2, 8, 9, 10, 11, 12]
[8, 9, 11, 10, 3, 2, 7, 6, 5, 4, 1, 0, 12]
[1, 0, 6, 2, 7, 8, 9, 10, 11, 3, 4, 5, 12]
[8, 4, 3, 9, 10, 11, 2, 1, 0, 5, 6, 7, 12]
[5, 6, 7, 8, 9, 0, 1, 2, 3, 4, 10, 11, 12]
[5, 6, 7, 8, 9, 10, 2, 1, 3, 4, 0, 11, 12]
[0, 4, 5, 6, 7, 8, 9, 1, 2, 3, 10, 11, 12]
[12, 9, 8, 11, 10, 7, 6, 5, 4, 3, 0, 1, 2]
[3, 2, 1, 0, 10, 4, 9, 8, 5, 6, 7, 11, 12]
[7, 0, 1, 2, 3, 4, 5, 6, 8, 10, 9, 11, 12]
[12, 11, 10, 9, 8, 7, 0, 5, 1, 2, 3, 4, 6]
[9, 8, 7, 6, 2, 1, 0, 3, 4, 5, 10, 11, 12]
[3, 4, 5, 6, 2, 0, 1, 8, 7, 9, 10, 11, 12]
[5, 6, 0, 7, 8, 9, 10, 11, 12, 4, 1, 2, 3]
[4, 5, 6, 9, 8, 7, 3, 2, 1, 0, 10, 11, 12]
[11, 10, 8, 9, 7, 6, 5, 4, 3, 2, 1, 0, 12]
[11, 9, 8, 7, 5, 4, 3, 2, 1, 0, 6, 10, 12]
[4, 3, 2, 1, 0, 9, 10, 11, 12, 5, 6, 7, 8]
