[1, 4, 2, 3, 5, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 4, 7, 5, 6, 0, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 4, 5, 0, 6, 7, 8]
[3, 1, 2, 4, 5, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 0, 4, 3, 5, 2, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 0, 2, 4, 1, 5, 6, 7, 8]
[3, 0, 2, 4, 1, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[3, 0, 2, 4, 1, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 4, 7, 5, 6, 0, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[3, 1, 2, 6, 4, 5, 7, 0, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 4, 7, 0, 6, 8, 5]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 4, 2, 3, 7, 5, 6, 0, 8]
[3, 1, 2, 4, 5, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 4, 7, 5, 6, 0, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 8, 6, 0, 7]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 0, 2, 4, 1, 5, 6, 7, 8]
[1, 4, 2, 3, 5, 0, 6, 7, 8]
[3, 1, 2, 4, 7, 0, 6, 8, 5]
[3, 0, 2, 4, 1, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[3, 0, 2, 6, 1, 5, 7, 4, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 4, 2, 3, 5, 0, 6, 7, 8]
[3, 1, 2, 4, 7, 5, 6, 0, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 4, 2, 3, 5, 0, 6, 7, 8]
[3, 1, 2, 6, 4, 0, 7, 8, 5]
[3, 1, 2, 4, 5, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 6, 4, 5, 7, 0, 8]
[1, 0, 4, 3, 5, 2, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 2, 5, 0, 3, 4, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 8, 6, 0, 7]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 4, 2, 3, 7, 5, 6, 0, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 4, 2, 0, 7, 5, 3, 6, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 4, 2, 3, 5, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 4, 7, 5, 6, 0, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[3, 1, 2, 0, 4, 5, 6, 7, 8]
[1, 4, 2, 3, 5, 8, 6, 0, 7]
[3, 1, 2, 4, 7, 0, 6, 8, 5]
[3, 1, 2, 0, 7, 5, 4, 6, 8]
[1, 4, 2, 3, 7, 5, 6, 0, 8]
[3, 1, 2, 4, 5, 0, 6, 7, 8]
[1, 0, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 5, 3, 4, 8, 6, 0, 7]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[1, 2, 5, 3, 4, 0, 6, 7, 8]
[1, 4, 2, 3, 7, 5, 6, 0, 8]
[3, 1, 2, 6, 4, 5, 7, 0, 8]
