[5, 13, 6, 8, 14, 15, 7, 10, 11, 12, 4, 9, 3, 2, 1, 0, 16]
[10, 15, 14, 11, 5, 12, 13, 0, 1, 2, 3, 4, 9, 8, 7, 6, 16]
[15, 16, 14, 13, 4, 5, 6, 7, 9, 10, 11, 12, 1, 0, 8, 2, 3]
[13, 0, 1, 12, 15, 16, 11, 10, 3, 9, 8, 7, 6, 5, 4, 2, 14]
[11, 9, 8, 7, 2, 3, 10, 1, 0, 6, 5, 4, 12, 13, 14, 15, 16]
[14, 6, 7, 8, 9, 15, 1, 2, 3, 16, 4, 5, 13, 12, 11, 10, 0]
[0, 6, 7, 12, 13, 14, 15, 1, 2, 3, 4, 5, 11, 9, 10, 8, 16]
[16, 15, 5, 14, 13, 12, 11, 10, 9, 0, 1, 3, 4, 2, 8, 6, 7]
[10, 9, 8, 5, 4, 3, 2, 1, 11, 12, 0, 6, 7, 13, 14, 15, 16]
[7, 8, 4, 3, 2, 1, 12, 16, 15, 14, 13, 0, 10, 5, 11, 9, 6]
[13, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 15, 14, 12, 1, 2, 16]
[13, 12, 11, 16, 1, 0, 4, 5, 6, 7, 8, 9, 10, 14, 2, 3, 15]
[7, 8, 6, 5, 9, 15, 14, 13, 12, 11, 10, 16, 0, 1, 2, 3, 4]
[10, 15, 14, 5, 6, 7, 13, 12, 2, 1, 11, 16, 0, 9, 8, 4, 3]
[13, 14, 15, 2, 16, 0, 8, 7, 6, 5, 1, 12, 11, 10, 3, 4, 9]
[16, 4, 15, 10, 14, 13, 11, 0, 1, 12, 2, 3, 5, 6, 7, 8, 9]
[9, 8, 10, 14, 7, 6, 5, 0, 1, 2, 3, 4, 11, 12, 13, 15, 16]
[8, 7, 5, 16, 4, 3, 2, 6, 1, 0, 9, 10, 11, 12, 13, 14, 15]
[4, 3, 14, 7, 13, 12, 11, 0, 1, 2, 10, 9, 8, 15, 5, 6, 16]
[8, 7, 6, 5, 9, 0, 1, 14, 4, 13, 12, 11, 10, 3, 2, 15, 16]
[11, 14, 3, 2, 1, 0, 9, 5, 6, 7, 8, 10, 13, 15, 16, 4, 12]
[6, 7, 8, 16, 13, 12, 5, 4, 3, 2, 11, 10, 9, 15, 14, 1, 0]
[9, 10, 8, 7, 11, 12, 13, 6, 5, 1, 2, 3, 4, 0, 14, 15, 16]
[10, 9, 8, 4, 0, 12, 13, 7, 6, 5, 3, 2, 1, 14, 11, 15, 16]
[7, 1, 3, 2, 10, 9, 6, 5, 0, 8, 14, 13, 12, 11, 4, 15, 16]
[11, 15, 6, 5, 4, 3, 2, 1, 9, 8, 13, 14, 0, 12, 7, 10, 16]
[8, 0, 9, 10, 12, 1, 2, 11, 4, 5, 6, 13, 14, 16, 15, 7, 3]
[11, 12, 14, 4, 13, 0, 10, 9, 8, 5, 1, 2, 3, 15, 16, 6, 7]
[5, 4, 10, 11, 12, 13, 14, 15, 9, 6, 8, 7, 0, 1, 2, 3, 16]
[12, 13, 5, 4, 3, 2, 16, 1, 0, 14, 11, 10, 9, 8, 7, 6, 15]
[11, 10, 9, 4, 14, 15, 0, 1, 16, 13, 12, 3, 2, 8, 7, 6, 5]
[13, 12, 11, 10, 0, 1, 2, 3, 5, 6, 7, 8, 9, 14, 16, 15, 4]
[1, 2, 11, 12, 13, 5, 6, 14, 15, 16, 3, 10, 9, 8, 7, 4, 0]
[13, 12, 3, 2, 1, 9, 4, 16, 6, 5, 11, 14, 15, 10, 7, 8, 0]
[7, 6, 5, 14, 13, 15, 9, 10, 11, 4, 3, 2, 0, 12, 8, 1, 16]
[11, 4, 5, 12, 13, 9, 3, 2, 1, 0, 6, 7, 8, 10, 14, 15, 16]
[7, 6, 5, 4, 3, 10, 8, 9, 1, 2, 16, 0, 11, 12, 13, 14, 15]
[0, 1, 3, 4, 15, 7, 10, 11, 12, 13, 6, 5, 9, 8, 14, 2, 16]
[14, 15, 16, 0, 1, 2, 13, 12, 11, 10, 6, 7, 4, 3, 5, 8, 9]
[2, 6, 7, 9, 10, 11, 8, 14, 5, 4, 12, 13, 3, 1, 0, 15, 16]
[12, 4, 3, 0, 1, 2, 9, 10, 11, 8, 13, 5, 6, 7, 14, 15, 16]
[7, 8, 9, 10, 11, 6, 16, 15, 14, 1, 2, 3, 4, 5, 12, 13, 0]
[3, 0, 1, 15, 4, 13, 12, 11, 10, 9, 14, 2, 5, 6, 7, 8, 16]
[11, 10, 12, 13, 14, 3, 4, 15, 16, 6, 5, 9, 8, 7, 2, 0, 1]
[5, 6, 7, 10, 11, 12, 1, 8, 16, 4, 3, 2, 0, 13, 15, 9, 14]
