[7, 6, 8, 9, 10, 0, 11, 12, 5, 1, 2, 3, 4, 13]
[2, 11, 0, 1, 6, 7, 12, 3, 4, 5, 10, 8, 9, 13]
[8, 9, 10, 13, 7, 0, 5, 4, 6, 11, 1, 2, 3, 12]
[4, 10, 9, 5, 6, 7, 0, 8, 1, 2, 11, 3, 12, 13]
[5, 7, 4, 13, 12, 11, 10, 8, 9, 2, 1, 0, 6, 3]
[9, 5, 6, 7, 12, 11, 8, 10, 4, 3, 2, 0, 1, 13]
[0, 7, 8, 10, 5, 9, 12, 13, 4, 3, 6, 11, 2, 1]
[2, 1, 10, 8, 11, 9, 3, 4, 12, 13, 5, 6, 7, 0]
[4, 0, 1, 7, 8, 3, 2, 6, 9, 5, 10, 11, 12, 13]
[13, 12, 11, 2, 3, 5, 8, 9, 6, 7, 0, 1, 4, 10]
[2, 4, 0, 1, 6, 7, 9, 10, 11, 12, 3, 5, 8, 13]
[10, 1, 9, 11, 12, 7, 8, 0, 2, 3, 4, 5, 6, 13]
[10, 11, 5, 6, 7, 13, 8, 4, 12, 2, 3, 9, 1, 0]
[4, 5, 6, 9, 10, 11, 12, 3, 1, 7, 8, 0, 2, 13]
[4, 9, 8, 7, 5, 10, 11, 12, 13, 6, 0, 1, 2, 3]
[13, 12, 8, 5, 4, 3, 2, 7, 6, 10, 9, 11, 1, 0]
[10, 1, 2, 5, 4, 6, 0, 11, 12, 13, 7, 3, 9, 8]
[11, 10, 9, 8, 2, 3, 1, 5, 6, 0, 12, 4, 7, 13]
[8, 9, 10, 11, 3, 4, 7, 2, 6, 1, 5, 0, 12, 13]
[12, 5, 3, 2, 11, 10, 6, 7, 9, 0, 1, 8, 4, 13]
[13, 6, 0, 1, 5, 7, 10, 9, 8, 12, 11, 2, 3, 4]
[3, 0, 4, 5, 2, 6, 11, 10, 9, 8, 1, 7, 12, 13]
[3, 4, 10, 11, 6, 5, 13, 9, 8, 7, 12, 2, 1, 0]
