[2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 0]
[0, 4, 3, 11, 1, 2, 5, 6, 7, 8, 9, 10]
[5, 4, 0, 1, 6, 7, 8, 9, 10, 11, 3, 2]
[7, 8, 9, 1, 0, 11, 10, 2, 3, 4, 5, 6]
[0, 11, 3, 4, 5, 6, 7, 8, 9, 10, 2, 1]
[8, 9, 5, 4, 7, 6, 10, 11, 0, 1, 2, 3]
[2, 1, 10, 9, 3, 11, 0, 4, 5, 6, 7, 8]
[10, 9, 1, 2, 3, 4, 5, 6, 7, 8, 0, 11]
[9, 3, 2, 1, 10, 11, 0, 4, 5, 6, 7, 8]
[1, 5, 4, 3, 2, 6, 7, 8, 9, 10, 11, 0]
[9, 10, 11, 3, 2, 1, 0, 4, 5, 6, 7, 8]
[7, 8, 0, 11, 10, 9, 1, 2, 3, 4, 5, 6]
[3, 7, 6, 5, 4, 8, 9, 10, 11, 0, 1, 2]
[11, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10]
[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10, 11]
[6, 3, 2, 1, 7, 8, 9, 10, 11, 0, 4, 5]
[2, 1, 0, 6, 7, 8, 9, 10, 11, 3, 4, 5]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 3]
[10, 11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[11, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10]
[7, 11, 10, 9, 8, 0, 1, 2, 3, 4, 5, 6]
[11, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10]
[0, 5, 6, 7, 8, 9, 10, 2, 1, 4, 3, 11]
[0, 11, 10, 9, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 1, 2, 10, 11, 3, 4, 5, 6, 7, 8, 9]
[9, 3, 2, 1, 10, 11, 0, 4, 5, 6, 7, 8]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[5, 6, 7, 8, 9, 10, 11, 0, 4, 3, 2, 1]
[11, 10, 9, 8, 3, 2, 1, 0, 4, 5, 6, 7]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[5, 6, 7, 8, 9, 10, 11, 3, 2, 1, 0, 4]
[2, 3, 11, 8, 9, 10, 1, 0, 4, 5, 6, 7]
[8, 3, 2, 1, 9, 10, 11, 0, 4, 5, 6, 7]
[0, 1, 2, 10, 11, 3, 4, 5, 6, 7, 8, 9]
[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10, 11]
[2, 3, 11, 0, 4, 5, 6, 7, 8, 9, 10, 1]
[0, 11, 3, 4, 5, 6, 7, 8, 9, 10, 2, 1]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 0]
[11, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 10, 11, 3, 4, 5, 6, 7, 8, 9]
[2, 3, 4, 0, 1, 5, 6, 7, 8, 9, 10, 11]
[8, 9, 4, 0, 11, 10, 3, 2, 1, 5, 6, 7]
[5, 1, 2, 0, 4, 3, 6, 7, 8, 9, 10, 11]
[0, 1, 2, 10, 11, 3, 4, 5, 6, 7, 8, 9]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]
[10, 11, 0, 8, 9, 1, 2, 3, 4, 5, 6, 7]
[11, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10]
[5, 9, 8, 7, 6, 10, 11, 0, 1, 2, 3, 4]
[2, 1, 10, 9, 3, 11, 0, 4, 5, 6, 7, 8]
[0, 4, 5, 6, 7, 8, 9, 10, 11, 3, 2, 1]
[1, 2, 9, 10, 0, 4, 5, 6, 7, 8, 3, 11]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 0]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 3]
[8, 1, 2, 10, 9, 0, 11, 3, 4, 5, 6, 7]
[3, 2, 10, 11, 4, 5, 6, 7, 8, 9, 1, 0]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 3]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 3]
[6, 7, 11, 10, 9, 8, 3, 2, 1, 0, 4, 5]
[2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 10, 11, 3, 4, 5, 6, 7, 8, 9]
[10, 11, 0, 8, 9, 1, 2, 3, 4, 5, 6, 7]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 3]
[8, 11, 0, 1, 9, 10, 2, 3, 4, 5, 6, 7]
[11, 1, 0, 4, 3, 2, 5, 6, 7, 8, 9, 10]
[6, 5, 4, 3, 7, 8, 9, 10, 11, 0, 1, 2]
[6, 5, 4, 3, 7, 8, 9, 10, 11, 0, 1, 2]
[2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10]
[5, 1, 2, 3, 6, 7, 8, 9, 10, 11, 0, 4]
[2, 10, 11, 3, 4, 5, 6, 7, 8, 9, 0, 1]
[9, 10, 11, 7, 8, 3, 2, 1, 0, 4, 5, 6]
[3, 2, 10, 5, 6, 7, 8, 9, 1, 0, 11, 4]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]
[0, 11, 10, 9, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 3, 4]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 1, 2, 10, 11, 3, 4, 5, 6, 7, 8, 9]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
