[19, 15, 16, 17, 18, 0, 2, 3, 4, 5, 6, 13, 14, 12, 11, 1, 10, 9, 8, 7]
[18, 2, 1, 14, 13, 12, 11, 19, 10, 9, 15, 16, 17, 8, 7, 6, 5, 0, 3, 4]
[1, 2, 3, 4, 19, 5, 6, 0, 13, 14, 12, 11, 10, 9, 8, 15, 16, 17, 18, 7]
[16, 15, 14, 13, 12, 11, 10, 8, 7, 3, 17, 5, 4, 2, 1, 0, 18, 6, 9, 19]
[16, 17, 0, 10, 11, 12, 13, 19, 8, 7, 6, 5, 4, 3, 9, 18, 15, 14, 2, 1]
[18, 19, 7, 8, 9, 10, 11, 6, 12, 13, 3, 2, 1, 0, 14, 15, 17, 16, 5, 4]
[7, 14, 10, 9, 18, 17, 13, 11, 8, 15, 12, 16, 0, 1, 2, 3, 4, 5, 6, 19]
[5, 6, 7, 16, 15, 14, 8, 4, 3, 1, 2, 9, 10, 11, 13, 12, 17, 0, 18, 19]
[5, 4, 3, 1, 2, 7, 11, 12, 10, 8, 9, 13, 14, 6, 0, 15, 16, 17, 18, 19]
[0, 5, 6, 7, 17, 15, 18, 19, 14, 13, 1, 2, 3, 4, 16, 8, 9, 10, 11, 12]
[4, 7, 9, 2, 17, 16, 15, 14, 18, 19, 8, 5, 6, 10, 12, 13, 11, 0, 1, 3]
[8, 16, 17, 18, 5, 4, 0, 2, 9, 10, 11, 12, 13, 14, 15, 1, 7, 6, 19, 3]
[9, 10, 1, 6, 7, 3, 2, 11, 0, 5, 19, 18, 17, 8, 4, 12, 13, 14, 15, 16]
[10, 11, 15, 6, 7, 3, 0, 1, 9, 8, 2, 14, 13, 12, 16, 17, 18, 5, 4, 19]
[17, 15, 14, 13, 9, 8, 5, 4, 3, 2, 18, 16, 19, 1, 11, 12, 6, 7, 0, 10]
[6, 19, 10, 11, 12, 13, 14, 0, 9, 8, 5, 4, 3, 2, 1, 18, 17, 16, 15, 7]
[15, 14, 2, 1, 0, 5, 16, 17, 18, 6, 7, 8, 11, 12, 13, 19, 4, 10, 9, 3]
[18, 17, 6, 16, 13, 15, 14, 1, 2, 12, 11, 10, 9, 8, 3, 4, 5, 19, 0, 7]
[15, 14, 8, 11, 7, 6, 0, 1, 5, 4, 3, 12, 13, 2, 10, 9, 16, 17, 18, 19]
[14, 18, 17, 5, 4, 3, 10, 6, 7, 16, 15, 13, 12, 11, 8, 9, 2, 1, 0, 19]
[9, 14, 13, 12, 6, 11, 10, 7, 8, 0, 15, 17, 16, 1, 2, 3, 4, 5, 19, 18]
[14, 13, 12, 15, 16, 8, 7, 2, 19, 18, 3, 4, 5, 6, 11, 10, 9, 1, 0, 17]
[16, 2, 13, 12, 11, 14, 15, 10, 9, 8, 7, 6, 0, 1, 17, 5, 4, 18, 19, 3]
[3, 2, 15, 0, 6, 4, 7, 8, 9, 12, 11, 16, 17, 18, 14, 13, 10, 5, 1, 19]
