[10, 5, 13, 0, 1, 14, 3, 2, 9, 4, 11, 12, 8, 7, 6]
[3, 4, 5, 6, 10, 8, 7, 13, 11, 1, 0, 9, 12, 14, 2]
[9, 12, 8, 7, 2, 1, 0, 4, 3, 13, 14, 6, 5, 10, 11]
[9, 5, 0, 1, 2, 8, 14, 13, 10, 11, 3, 6, 7, 12, 4]
[6, 5, 4, 0, 13, 12, 3, 2, 11, 1, 7, 8, 9, 10, 14]
[8, 7, 6, 5, 10, 4, 2, 1, 0, 9, 3, 11, 12, 13, 14]
[6, 2, 13, 14, 3, 4, 5, 10, 12, 11, 9, 0, 1, 8, 7]
[5, 8, 7, 9, 10, 6, 4, 11, 0, 1, 3, 2, 13, 12, 14]
[8, 9, 0, 11, 10, 1, 2, 3, 4, 5, 6, 12, 13, 14, 7]
[8, 9, 12, 13, 0, 6, 5, 1, 11, 10, 4, 3, 2, 7, 14]
[14, 10, 9, 8, 12, 5, 6, 7, 11, 0, 13, 4, 1, 2, 3]
[11, 0, 14, 1, 13, 6, 5, 4, 10, 9, 8, 7, 12, 3, 2]
[7, 8, 9, 6, 5, 12, 4, 3, 0, 1, 2, 13, 14, 10, 11]
[14, 2, 0, 1, 9, 11, 3, 4, 5, 6, 12, 7, 10, 8, 13]
[10, 12, 0, 4, 5, 8, 7, 11, 13, 6, 9, 1, 2, 3, 14]
[13, 12, 11, 2, 3, 4, 5, 6, 7, 8, 0, 1, 10, 9, 14]
[14, 8, 9, 1, 2, 3, 0, 4, 5, 6, 7, 11, 10, 12, 13]
[8, 14, 12, 2, 1, 0, 11, 10, 9, 3, 7, 6, 5, 4, 13]
[14, 7, 6, 5, 13, 12, 4, 9, 10, 11, 8, 3, 2, 0, 1]
[2, 7, 1, 0, 6, 3, 11, 9, 8, 4, 5, 10, 13, 12, 14]
[9, 12, 14, 11, 13, 5, 4, 0, 1, 2, 8, 7, 6, 3, 10]
[3, 8, 9, 2, 1, 0, 6, 5, 10, 11, 13, 12, 4, 14, 7]
[14, 13, 8, 2, 3, 12, 0, 1, 7, 11, 10, 9, 6, 4, 5]
[6, 5, 7, 8, 9, 14, 4, 1, 2, 3, 13, 12, 11, 10, 0]
